release_year,album,title,lyrics
1980,Saved,Solid Rock,"Well, I’m hangin’ on to a solid rock

Made before the foundation of the world

And I won’t let go, and I can’t let go, won’t let go

And I can’t let go, won’t let go and I can’t let go no more



For me He was chastised, for me He was hated

For me He was rejected by a world that He created

Nations are angry, cursed are some

People are expecting a false peace to come



Well, I’m hangin’ on to a solid rock

Made before the foundation of the world

And I won’t let go and I can’t let go, won’t let go

And I can’t let go, won’t let go and I can’t let go no more



It’s the ways of the flesh to war against the spirit

Twenty-four hours a day you can feel it and you can hear it

Using all the devices under the sun

And He never give up ’til the battle’s lost or won



Well, I’m hangin’ on to a solid rock

Made before the foundation of the world

And I won’t let go and I can’t let go, won’t let go

And I can’t let go, won’t let go and I can’t let go no more"
1981,Shot of Love,The Groom’s Still Waiting at the Altar,"Prayed in the ghetto with my face in the cement

Heard the last moan of a boxer, seen the massacre of the innocent

Felt around for the light switch, became nauseated

She was walking down the hallway while the walls deteriorated



West of the Jordan, east of the Rock of Gibraltar

I see the turning of the page

Curtain risin’ on a new age

See the groom still waitin’ at the altar



Try to be pure at heart, they arrest you for robbery

Mistake your shyness for aloofness, your silence for snobbery

Got the message this morning, the one that was sent to me

About the madness of becomin’ what one was never meant to be



West of the Jordan, east of the Rock of Gibraltar

I see the burning of the stage

Curtain risin’ on a new age

See the groom still waitin’ at the altar



Don’t know what I can say about Claudette that wouldn’t come back to haunt me Finally had to give her up ’bout the time she began to want me

But I know God has mercy on them who are slandered and humiliated

I’d a-done anything for that woman if she didn’t make me feel so obligated



West of the Jordan, east of the Rock of Gibraltar

I see the burning of the cage

Curtain risin’ on a new stage

See the groom still waitin’ at the altar



Put your hand on my head, baby, do I have a temperature?

I see people who are supposed to know better standin’ around like furniture There’s a wall between you and what you want and you got to leap it

Tonight you got the power to take it, tomorrow you won’t have the power to keep it



West of the Jordan, east of the Rock of Gibraltar

I see the burning of the stage

Curtain risin’ on a new age

See the groom still waitin’ at the altar



Cities on fire, phones out of order

They’re killing nuns and soldiers, there’s fighting on the border

What can I say about Claudette? Ain’t seen her since January

She could be respectfully married or running a whorehouse in Buenos Aires



West of the Jordan, east of the Rock of Gibraltar

I see the burning of the stage

Curtain risin’ on a new age

See the groom still waitin’ at the altar"
1981,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",You Changed My Life,"I was listening to the voices of death on parade

Singing about conspiracy, wanted me to be afraid

Working for a system I couldn't understand or trust

Suffered ridicule and wanting to give it all up in disgust



But you changed my life

Came along in a time of strife

In hunger and need, you made my heart bleed

You changed my life



Talk about salvation, people suddenly get tired

They got a million things to do, they're all so inspired

You do the work of the devil, you got a million friends

They'll be there when you got something, they'll take it all in the end



But you changed my life

Came along in a time of strife

I was under the gun, clouds blocking the sun

You changed my life



Well, the nature of man is to beg and to steal

I do it myself, it's not so unreal

The call of the wild is forever at my door

Wants me to fly like an eagle while being chained to the floor



But you changed my life

Came along in a time of strife

From silver and gold to what man cannot hold

You changed my life



I was eating with the pigs off a fancy tray

I was told I was looking good and to have a nice day

It all seemed so proper, it all seemed so elite

Eating that absolute garbage while being so discreet



But you changed my life

Came along in a time of strife

From silver and gold to what man cannot hold

You changed my life



You were glowing in the sun while being peaceably calm

While orphans of man danced to the beat of the palm

Your eyes were on fire, your feet were of brass

In the world you had made they made you an outcast



You changed my life

Came along in a time of strife

From silver and gold to what man cannot hold

You changed my life



There was someone in my body that I could hardly see

Invading my privacy making my decisions for me

Holding me back, not letting me stand

Making me feel like a stranger in a strange land



But you changed my life

Came along in a time of strife

You come down the line, give me a new mind

You changed my life



My Lord and my Savior, my companion, my friend

Heart fixer, mind regulator, true to the end

My creator, my comforter, my cause for joy

What the world is set against but will never destroy



You changed my life

Came along in a time of strife

You came in like the wind, like Errol Flynn

You changed my life"
1981,Shot of Love,Every Grain of Sand,"In the time of my confession, in the hour of my deepest need

When the pool of tears beneath my feet flood every newborn seed

There’s a dyin’ voice within me reaching out somewhere

Toiling in the danger and in the morals of despair



Don’t have the inclination to look back on any mistake

Like Cain, I now behold this chain of events that I must break

In the fury of the moment I can see the Master’s hand

In every leaf that trembles, in every grain of sand



Oh, the flowers of indulgence and the weeds of yesteryear

Like criminals, they have choked the breath of conscience and good cheer

The sun beat down upon the steps of time to light the way

To ease the pain of idleness and the memory of decay



I gaze into the doorway of temptation’s angry flame

And every time I pass that way I always hear my name

Then onward in my journey I come to understand

That every hair is numbered like every grain of sand



I have gone from rags to riches in the sorrow of the night

In the violence of a summer’s dream, in the chill of a wintry light

In the bitter dance of loneliness fading into space

In the broken mirror of innocence on each forgotten face



I hear the ancient footsteps like the motion of the sea

Sometimes I turn, there’s someone there, other times it’s only me

I am hanging in the balance of the reality of man

Like every sparrow falling, like every grain of sand"
1981,Shot of Love,Trouble,"Trouble in the city, trouble in the farm

You got your rabbit’s foot, you got your good-luck charm

But they can’t help you none when there’s trouble



Trouble

Trouble, trouble, trouble

Nothin’ but trouble



Trouble in the water, trouble in the air

Go all the way to the other side of the world, you’ll find trouble there

Revolution even ain’t no solution for trouble



Trouble

Trouble, trouble, trouble

Nothin’ but trouble



Drought and starvation, packaging of the soul

Persecution, execution, governments out of control

You can see the writing on the wall inviting trouble



Trouble

Trouble, trouble, trouble

Nothin’ but trouble



Put your ear to the train tracks, put your ear to the ground

You ever feel like you’re never alone even when there’s nobody else around?

Since the beginning of the universe man’s been cursed by trouble



Trouble

Trouble, trouble, trouble

Nothin’ but trouble



Nightclubs of the broken-hearted, stadiums of the damned

Legislature, perverted nature, doors that are rudely slammed

Look into infinity, all you see is trouble



Trouble

Trouble, trouble, trouble

Nothin’ but trouble
"
1981,Shot of Love,In the Summertime,"I was in your presence for an hour or so

Or was it a day? I truly don’t know

Where the sun never set, where the trees hung low

By that soft and shining sea

Did you respect me for what I did

Or for what I didn’t do, or for keeping it hid?

Did I lose my mind when I tried to get rid

Of everything you see?



In the summertime, ah in the summertime

In the summertime, when you were with me



I got the heart and you got the blood

We cut through iron and we cut through mud

Then came the warnin’ that was before the flood

That set everybody free

Fools they made a mock of sin

Our loyalty they tried to win

But you were closer to me than my next of kin

When they didn’t want to know or see



In the summertime, ah in the summertime

In the summertime when you were with me



Strangers, they meddled in our affairs

Poverty and shame was theirs

But all that sufferin’ was not to be compared

With the glory that is to be

And I’m still carrying the gift you gave

It’s a part of me now, it’s been cherished and saved

It’ll be with me unto the grave

And then unto eternity



In the summertime, ah in the summertime

In the summertime when you were with me"
1981,Shot of Love,Lenny Bruce,"Lenny Bruce is dead but his ghost lives on and on

Never did get any Golden Globe award, never made it to Synanon

He was an outlaw, that’s for sure

More of an outlaw than you ever were

Lenny Bruce is gone but his spirit’s livin’ on and on



Maybe he had some problems, maybe some things that he couldn’t work out

But he sure was funny and he sure told the truth and he knew what he was talkin’ about

Never robbed any churches nor cut off any babies’ heads

He just took the folks in high places and he shined a light in their beds

He’s on some other shore, he didn’t wanna live anymore



Lenny Bruce is dead but he didn’t commit any crime

He just had the insight to rip off the lid before its time

I rode with him in a taxi once

Only for a mile and a half, seemed like it took a couple of months

Lenny Bruce moved on and like the ones that killed him, gone



They said that he was sick ’cause he didn’t play by the rules

He just showed the wise men of his day to be nothing more than fools

They stamped him and they labeled him like they do with pants and shirts

He fought a war on a battlefield where every victory hurts

Lenny Bruce was bad, he was the brother that you never had"
1981,Shot of Love,"Dead Man, Dead Man","Uttering idle words from a reprobate mind

Clinging to strange promises, dying on the vine

Never bein’ able to separate the good from the bad

Ooh, I can’t stand it, I can’t stand it

It’s makin’ me feel so sad



Dead man, dead man

When will you arise?

Cobwebs in your mind

Dust upon your eyes



Satan got you by the heel, there’s a bird’s nest in your hair

Do you have any faith at all? Do you have any love to share?

The way that you hold your head, cursin’ God with every move

Ooh, I can’t stand it, I can’t stand it

What are you tryin’ to prove?



Dead man, dead man

When will you arise?

Cobwebs in your mind

Dust upon your eyes



The glamour and the bright lights and the politics of sin

The ghetto that you build for me is the one you end up in

The race of the engine that overrules your heart

Ooh, I can’t stand it, I can’t stand it

Pretending that you’re so smart



Dead man, dead man

When will you arise?

Cobwebs in your mind

Dust upon your eyes



What are you tryin’ to overpower me with, the doctrine or the gun?

My back is already to the wall, where can I run?

The tuxedo that you’re wearin’, the flower in your lapel

Ooh, I can’t stand it, I can’t stand it

You wanna take me down to hell



Dead man, dead man

When will you arise?

Cobwebs in your mind

Dust upon your eyes
"
1981,Shot of Love,Heart of Mine,"Heart of mine be still

You can play with fire but you’ll get the bill

Don’t let her know

Don’t let her know that you love her

Don’t be a fool, don’t be blind

Heart of mine



Heart of mine go back home

You got no reason to wander, you got no reason to roam

Don’t let her see

Don’t let her see that you need her

Don’t put yourself over the line

Heart of mine



Heart of mine go back where you been

It’ll only be trouble for you if you let her in

Don’t let her hear

Don’t let her hear you want her

Don’t let her think you think she’s fine

Heart of mine



Heart of mine you know that she’ll never be true

She’ll only give to others the love that she’s gotten from you

Don’t let her know

Don’t let her know where you’re going

Don’t untie the ties that bind

Heart of mine



Heart of mine so malicious and so full of guile

Give you an inch and you’ll take a mile

Don’t let yourself fall

Don’t let yourself stumble

If you can’t do the time, don’t do the crime

Heart of mine"
1981,Shot of Love,Property of Jesus,"Go ahead and talk about him because he makes you doubt

Because he has denied himself the things that you can’t live without

Laugh at him behind his back just like the others do

Remind him of what he used to be when he comes walkin’ through



He’s the property of Jesus

Resent him to the bone

You got something better

You’ve got a heart of stone



Stop your conversation when he passes on the street

Hope he falls upon himself, oh, won’t that be sweet

Because he can’t be exploited by superstition anymore

Because he can’t be bribed or bought by the things that you adore



He’s the property of Jesus

Resent him to the bone

You got something better

You’ve got a heart of stone



When the whip that’s keeping you in line doesn’t make him jump

Say he’s hard-of-hearin’, say that he’s a chump

Say he’s out of step with reality as you try to test his nerve

Because he doesn’t pay no tribute to the king that you serve



He’s the property of Jesus

Resent him to the bone

You got something better

You’ve got a heart of stone



Say that he’s a loser ’cause he got no common sense

Because he don’t increase his worth at someone else’s expense

Because he’s not afraid of trying, ’cause he don’t look at you and smile

’Cause he doesn’t tell you jokes or fairy tales, say he’s got no style



He’s the property of Jesus

Resent him to the bone

You got something better

You’ve got a heart of stone



You can laugh at salvation, you can play Olympic games

You think that when you rest at last you’ll go back from where you came

But you’ve picked up quite a story and you’ve changed since the womb

What happened to the real you, you’ve been captured but by whom?



He’s the property of Jesus

Resent him to the bone

You got something better

You’ve got a heart of stone"
1981,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Angelina,"Well, it’s always been my nature to take chances

My right hand drawing back while my left hand advances

Where the current is strong and the monkey dances

To the tune of a concertina



Blood dryin’ in my yellow hair as I go from shore to shore

I know what it is that has drawn me to your door

But whatever it could be, makes me think you’ve seen me before

Angelina



Oh, Angelina. Oh, Angelina



His eyes were two slits that would make a snake proud

With a face that any painter would paint as he walked through the crowd

Worshipping a god with the body of a woman well endowed

And the head of a hyena



Do I need your permission to turn the other cheek?

If you can read my mind, why must I speak?

No, I have heard nothing about the man that you seek

Angelina



Oh, Angelina. Oh, Angelina



In the valley of the giants where the stars and stripes explode

The peaches they were sweet and the milk and honey flowed

I was only following instructions when the judge sent me down the road

With your subpoena



When you cease to exist, then who will you blame

I’ve tried my best to love you but I cannot play this game

Your best friend and my worst enemy is one and the same

Angelina



Oh, Angelina. Oh, Angelina



There’s a black Mercedes rollin’ through the combat zone

Your servants are half dead, you’re down to the bone

Tell me, tall men, where would you like to be overthrown

Maybe down in Jerusalem or Argentina?



She was stolen from her mother when she was three days old

Now her vengeance has been satisfied and her possessions have been sold

He’s surrounded by God’s angels and she’s wearin’ a blindfold

And so are you, Angelina



Oh, Angelina. Oh, Angelina



I see pieces of men marching, trying to take heaven by force

I can see the unknown rider, I can see the pale white horse

In God’s truth tell me what you want and you’ll have it of course

Just step into the arena



Beat a path of retreat up them spiral staircases

Pass the tree of smoke, pass the angel with four faces

Begging God for mercy and weepin’ in unholy places

Angelina



Oh, Angelina. Oh, Angelina
"
1981,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Need a Woman,"It’s been raining in the trenches all day long, dripping down to my clothes

My patience is wearing thin, got a fire inside my nose

Searching for the truth the way God designed it

The truth is I might drown before I find it



Well I need a woman, yes I do

Need a woman, yes I do

Someone who can see me as I am

Somebody who just don’t give a damn

And I want you to be that woman every night

Be that woman



I’ve had my eyes on you baby for about five long years

You probably don’t know me at all, but I have seen your laughter and tears

Now you don’t frighten me, my heart is jumping

And you look like it wouldn’t hurt you none to have a man

    who could give ya something



Well I need a woman, oh don’t I

Need a woman, bring it home safe at last

Seen you turn the corner, seen your boot heels spark

Seen you in the daylight, and watched you in the dark

And I want you to be that woman, all right

Be that woman every night



Well, if you believe in something long enough you just naturally

    come to think it’s true

There ain’t no wall you can’t cross over, ain’t no fire you can’t walk through

Well, believing is all right, just don’t let the wrong people know what it’s all about

They might put the evil eye on you, use their hidden powers to try to turn you out



Well I need a woman, just to be my queen

Need a woman, know what I mean?
"
1981,Shot of Love,Shot of Love,"I need a shot of love, I need a shot of love



Don’t need a shot of heroin to kill my disease

Don’t need a shot of turpentine, only bring me to my knees

Don’t need a shot of codeine to help me to repent

Don’t need a shot of whiskey, help me be president



I need a shot of love, I need a shot of love



Doctor, can you hear me? I need some Medicaid

I seen the kingdoms of the world and it’s makin’ me feel afraid

What I got ain’t painful, it’s just bound to kill me dead

Like the men that followed Jesus when they put a price upon His head



I need a shot of love, I need a shot of love



I don’t need no alibi when I’m spending time with you

I’ve heard all of them rumors and you have heard ’em too

Don’t show me no picture show or give me no book to read

It don’t satisfy the hurt inside nor the habit that it feeds



I need a shot of love, I need a shot of love



Why would I want to take your life?

You’ve only murdered my father, raped his wife

Tattooed my babies with a poison pen

Mocked my God, humiliated my friends



I need a shot of love, I need a shot of love



Don’t wanna be with nobody tonight

Veronica not around nowhere, Mavis just ain’t right

There’s a man that hates me and he’s swift, smooth and near

Am I supposed to set back and wait until he’s here?



I need a shot of love, I need a shot of love



What makes the wind wanna blow tonight?

Don’t even feel like crossing the street and my car ain’t actin’ right

Called home, everybody seemed to have moved away

My conscience is beginning to bother me today



I need a shot of love, I need a shot of love



I need a shot of love, I need a shot of love

If you’re a doctor, I need a shot of love
"
1981,Shot of Love,Watered-Down Love,"Love that’s pure hopes all things

Believes all things, won’t pull no strings

Won’t sneak up into your room, tall, dark and handsome

Capture your heart and hold it for ransom



You don’t want a love that’s pure

You wanna drown love

You want a watered-down love



Love that’s pure, it don’t make no false claims

Intercedes for you ’stead of casting you blame

Will not deceive you or lead you into transgression

Won’t write it up and make you sign a false confession



You don’t want a love that’s pure

You wanna drown love

You want a watered-down love



Love that’s pure won’t lead you astray

Won’t hold you back, won’t mess up your day

Won’t pervert you, corrupt you with stupid wishes

It don’t make you envious, it don’t make you suspicious



You don’t want a love that’s pure

You wanna drown love

You want a watered-down love



Love that’s pure ain’t no accident

Always on time, is always content

An eternal flame, quietly burning

Never needs to be proud, restlessly yearning



You don’t want a love that’s pure

You wanna drown love

You want a watered-down love
"
1983,Infields,Jokerman,"Standing on the waters casting your bread

While the eyes of the idol with the iron head are glowing

Distant ships sailing into the mist

You were born with a snake in both of your fists while a hurricane was blowing

Freedom just around the corner for you

But with the truth so far off, what good will it do?



Jokerman dance to the nightingale tune

Bird fly high by the light of the moon

Oh, oh, oh, Jokerman



So swiftly the sun sets in the sky

You rise up and say goodbye to no one

Fools rush in where angels fear to tread

Both of their futures, so full of dread, you don’t show one

Shedding off one more layer of skin

Keeping one step ahead of the persecutor within



Jokerman dance to the nightingale tune

Bird fly high by the light of the moon

Oh, oh, oh, Jokerman



You’re a man of the mountains, you can walk on the clouds

Manipulator of crowds, you’re a dream twister

You’re going to Sodom and Gomorrah

But what do you care? Ain’t nobody there would want to marry your sister

Friend to the martyr, a friend to the woman of shame

You look into the fiery furnace, see the rich man without any name



Jokerman dance to the nightingale tune

Bird fly high by the light of the moon

Oh, oh, oh, Jokerman



Well, the Book of Leviticus and Deuteronomy

The law of the jungle and the sea are your only teachers

In the smoke of the twilight on a milk-white steed

Michelangelo indeed could’ve carved out your features

Resting in the fields, far from the turbulent space

Half asleep near the stars with a small dog licking your face



Jokerman dance to the nightingale tune

Bird fly high by the light of the moon

Oh, oh, oh, Jokerman



Well, the rifleman’s stalking the sick and the lame

Preacherman seeks the same, who’ll get there first is uncertain

Nightsticks and water cannons, tear gas, padlocks

Molotov cocktails and rocks behind every curtain

False-hearted judges dying in the webs that they spin

Only a matter of time ’til night comes steppin’ in



Jokerman dance to the nightingale tune

Bird fly high by the light of the moon

Oh, oh, oh, Jokerman



It’s a shadowy world, skies are slippery grey

A woman just gave birth to a prince today and dressed him in scarlet

He’ll put the priest in his pocket, put the blade to the heat

Take the motherless children off the street and place them at the feet of a harlot

Oh, Jokerman, you know what he wants

Oh, Jokerman, you don’t show any response



Jokerman dance to the nightingale tune

Bird fly high by the light of the moon

Oh, oh, oh, Jokerman
"
1983,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Blind Willie McTell,"Seen the arrow on the doorpost

Saying, “This land is condemned

All the way from New Orleans

To new Jerusalem”

I traveled through East Texas

Where many martyrs fell

And I can tell you one thing

Nobody can sing the blues

Like Blind Willie McTell



Well, I heard that hoot owl singing

As they were taking down the tents

The stars above the barren trees

Were his only audience

Them charcoal gypsy maidens

Can strut their feathers well

And I can tell you one thing

Nobody can sing the blues

Like Blind Willie McTell



There’s a woman by the river

With some fine young handsome man

He’s dressed up like a squire

Bootlegged whiskey in his hand

Some of them died in the battle

Some of them survived as well

And I can tell you one thing

Nobody can sing the blues

Like Blind Willie McTell



Well, God is in His heaven

And we all want what’s His

But power and greed and corruptible seed

Seem to be all that there is

I’m gazing out the window

Of the St. James Hotel

And I can tell you one thing

Nobody can sing the blues

Like Blind Willie McTell
"
1983,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Foot of Pride,"Like the lion tears the flesh off of a man

So can a woman who passes herself off as a male

They sang “Danny Boy” at his funeral and the Lord’s Prayer

Preacher talking ’bout Christ betrayed

It’s like the earth just opened and swallowed him up

He reached too high, was thrown back to the ground

You know what they say about bein’ nice to the right people on the way up

Sooner or later you gonna meet them comin’ down



Well, there ain’t no goin’ back

When your foot of pride come down

Ain’t no goin’ back



Hear ya got a brother named James, don’t forget faces or names

Sunken cheeks and his blood is mixed

He looked straight into the sun and said revenge is mine

But he drinks, and drinks can be fixed

Sing me one more song, about ya love me to the moon and the stranger

And your fall-by-the sword love affair with Errol Flynn

In these times of compassion when conformity’s in fashion

Say one more stupid thing to me before the final nail is driven in.



Well, there ain’t no goin’ back

When your foot of pride come down

Ain’t no goin’ back



There’s a retired businessman named Red

Cast down from heaven and he’s out of his head

He feeds off of everyone that he can touch

He said he only deals in cash or sells tickets to a plane crash

He’s not somebody that you play around with much

Miss Delilah is his, a Phillistine is what she is

She’ll do wondrous works with your fate, feed you coconut bread,

    spice buns in your bed

If you don’t mind sleepin’ with your head face down in a grave



Well, there ain’t no goin’ back

When your foot of pride come down

Ain’t no goin’ back



Well, they’ll choose a man for you to meet tonight

You’ll play the fool and learn how to walk through doors

How to enter into the gates of paradise

No, how to carry a burden too heavy to be yours

Yeah, from the stage they’ll be tryin’ to get water outa rocks

A whore will pass the hat, collect a hundred grand and say thanks

They like to take all this money from sin, build big universities to study in

Sing “Amazing Grace” all the way to the Swiss banks



Well, there ain’t no goin’ back

When your foot of pride come down

Ain’t no goin’ back



They got some beautiful people out there, man

They can be a terror to your mind and show you how to hold your tongue

They got mystery written all over their forehead

They kill babies in the crib and say only the good die young

They don’t believe in mercy

Judgement on them is something that you’ll never see

They can exalt you up or bring you down main route

Turn you into anything that they want you to be



Well, there ain’t no goin’ back

When your foot of pride come down

Ain’t no goin’ back



Yes, I guess I loved him too

I can still see him in my mind climbin’ that hill

Did he make it to the top, well he probably did and dropped

Struck down by the strength of the will

Ain’t nothin’ left here partner, just the dust of a plague

    that has left this whole town afraid

From now on, this’ll be where you’re from

Let the dead bury the dead. Your time will come

Let hot iron blow as he raised the shade



Well, there ain’t no goin’ back

When your foot of pride come down

Ain’t no goin’ back
"
1983,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Lord Protect My Child,"For his age, he’s wise

He’s got his mother’s eyes

There’s gladness in his heart

He’s young and he’s wild

My only prayer is, if I can’t be there

Lord, protect my child



As his youth now unfolds

He is centuries old

Just to see him at play makes me smile

No matter what happens to me

No matter what my destiny

Lord, protect my child



The whole world is asleep

You can look at it and weep

Few things you find are worthwhile

And though I don’t ask for much

No material things to touch

Lord, protect my child



He’s young and on fire

Full of hope and desire

In a world that’s been raped and defiled

If I fall along the way

And can’t see another day

Lord, protect my child



There’ll be a time I hear tell

When all will be well

When God and man will be reconciled

But until men lose their chains

And righteousness reigns

Lord, protect my child
"
1983,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Tell me,"Tell me—I’ve got to know

Tell me—Tell me before I go

Does that flame still burn, Does that fire still glow

Or has it died out and melted like the snow

Tell me

Tell me



Tell me—what are you focused upon

Tell me—will it come to me after you’re gone

Tell me quick with a glance on the side

Shall I hold you close or shall I let you go by

Tell me

Tell me



Are you lookin’ at me and thinking of somebody else

Can you feel the heat and the beat of my pulse

Do you have any secrets

That will only come out in time

Do you lay in bed and stare at the stars

Is your main friend someone who’s an old acquaintance of ours

Tell me

Tell me



Tell me—what’s in back of them pretty brown eyes

Tell me—behind what door your treasure lies

Ever gone broke in a big way

Ever done the opposite of what the experts say

Tell me

Tell me



Is it some kind of game that you’re playin’ with me

Am I imagining something that never can be

Do you have any morals

Do you have any point of view

Is that a smile I see on your face

Will it take you to glory or to disgrace

Tell me

Tell me



Tell me—is my name in your book

Tell me—will you go back and take another look

Tell me the truth, tell me no lies

Are you someone whom anyone prays for or cries

Tell me

Tell me
"
1983,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Someone’s Got a Hold of My Heart,"They say, “Eat, drink and be merry""

""Take the bull by the horns”

I keep seeing visions of you, a lily among thorns

Everything looks a little far away to me



Gettin’ harder and harder to recognize the trap

Too much information about nothin’

Too much educated rap

It’s just like you told me, just like you said it would be



The moon rising like wildfire

I feel the breath of a storm

Something I got to do tonight

You go inside and stay warm



Someone’s got a hold of my heart

Someone’s got a hold of my heart

Someone’s got a hold of my heart

You—

Yeah, you got a hold of my heart



Just got back from a city of flaming red skies

Everybody thinks with their stomach

There’s plenty of spies

Every street is crooked, they just wind around till they disappear



Madame Butterfly, she lulled me to sleep

Like an ancient river

So wide and deep

She said, “Be easy, baby, ain’t nothin’ worth stealin’ here”



You’re the one I’ve been waitin’ for

You’re the one I desire

But you must first realize

I’m not another man for hire



Someone’s got a hold of my heart

Someone’s got a hold of my heart

Someone’s got a hold of my heart

You, you, you, you

Yeah, you got a hold of my heart



Hear that hot-blooded singer

On the bandstand croon

September song, Memphis in June

While they’re beating the devil out of a guy who’s wearing a powder blue wig



I been to Babylon

I gotta confess

I could still hear the voice crying in the wilderness

What looks large from a distance, close up is never that big

Never could learn to drink that blood and call it wine

Never could learn to look at your face and call it mine



Someone’s got a hold of my heart

Someone’s got a hold of my heart

Someone’s got a hold of my heart

You—

Yeah, you got a hold of my heart
"
1983,Infields,Sweetheart Like You,"Well, the pressure’s down, the boss ain’t here

He gone North, he ain’t around

They say that vanity got the best of him

But he sure left here after sundown

By the way, that’s a cute hat

And that smile’s so hard to resist

But what’s a sweetheart like you doin’ in a dump like this?



You know, I once knew a woman who looked like you

She wanted a whole man, not just a half

She used to call me sweet daddy when I was only a child

You kind of remind me of her when you laugh

In order to deal in this game, got to make the queen disappear

It’s done with a flick of the wrist

What’s a sweetheart like you doin’ in a dump like this?



You know, a woman like you should be at home

That’s where you belong

Watching out for someone who loves you true

Who would never do you wrong

Just how much abuse will you be able to take?

Well, there’s no way to tell by that first kiss

What’s a sweetheart like you doin’ in a dump like this?



You know you can make a name for yourself

You can hear them tires squeal

You can be known as the most beautiful woman

Who ever crawled across cut glass to make a deal



You know, news of you has come down the line

Even before ya came in the door

They say in your father’s house, there’s many mansions

Each one of them got a fireproof floor

Snap out of it, baby, people are jealous of you

They smile to your face, but behind your back they hiss

What’s a sweetheart like you doin’ in a dump like this?



Got to be an important person to be in here, honey

Got to have done some evil deed

Got to have your own harem when you come in the door

Got to play your harp until your lips bleed



They say that patriotism is the last refuge

To which a scoundrel clings

Steal a little and they throw you in jail

Steal a lot and they make you king

There’s only one step down from here, baby

It’s called the land of permanent bliss

What’s a sweetheart like you doin’ in a dump like this?
"
1983,Infields,License to Kill,"Man thinks ’cause he rules the earth he can do with it as he please

And if things don’t change soon, he will

Oh, man has invented his doom

First step was touching the moon



Now, there’s a woman on my block

She just sit there as the night grows still

She say who gonna take away his license to kill?



Now, they take him and they teach him and they groom him for life

And they set him on a path where he’s bound to get ill

Then they bury him with stars

Sell his body like they do used cars



Now, there’s a woman on my block

She just sit there facin’ the hill

She say who gonna take away his license to kill?



Now, he’s hell-bent for destruction, he’s afraid and confused

And his brain has been mismanaged with great skill

All he believes are his eyes

And his eyes, they just tell him lies



But there’s a woman on my block

Sitting there in a cold chill

She say who gonna take away his license to kill?



Ya may be a noisemaker, spirit maker

Heartbreaker, backbreaker

Leave no stone unturned

May be an actor in a plot

That might be all that you got

’Til your error you clearly learn



Now he worships at an altar of a stagnant pool

And when he sees his reflection, he’s fulfilled

Oh, man is opposed to fair play

He wants it all and he wants it his way



Now, there’s a woman on my block

She just sit there as the night grows still

She say who gonna take away his license to kill?
"
1983,Infields,Man of Peace,"Look out your window, baby, there’s a scene you’d like to catch

The band is playing “Dixie,” a man got his hand outstretched

Could be the Führer

Could be the local priest

You know sometimes Satan comes as a man of peace



He got a sweet gift of gab, he got a harmonious tongue

He knows every song of love that ever has been sung

Good intentions can be evil

Both hands can be full of grease

You know that sometimes Satan comes as a man of peace



Well, first he’s in the background, then he’s in the front

Both eyes are looking like they’re on a rabbit hunt

Nobody can see through him

No, not even the Chief of Police

You know that sometimes Satan comes as a man of peace



Well, he catch you when you’re hoping for a glimpse of the sun

Catch you when your troubles feel like they weigh a ton

He could be standing next to you

The person that you’d notice least

I hear that sometimes Satan comes as a man of peace



Well, he can be fascinating, he can be dull

He can ride down Niagara Falls in the barrels of your skull

I can smell something cooking

I can tell there’s going to be a feast

You know that sometimes Satan comes as a man of peace



He’s a great humanitarian, he’s a great philanthropist

He knows just where to touch you, honey, and how you like to be kissed

He’ll put both his arms around you

You can feel the tender touch of the beast

You know that sometimes Satan comes as a man of peace



Well, the howling wolf will howl tonight, the king snake will crawl

Trees that’ve stood for a thousand years suddenly will fall

Wanna get married? Do it now

Tomorrow all activity will cease

You know that sometimes Satan comes as a man of peace



Somewhere Mama’s weeping for her blue-eyed boy

She’s holding them little white shoes and that little broken toy

And he’s following a star

The same one them three men followed from the East

I hear that sometimes Satan comes as a man of peace
"
